province,kab_kota,quadbin,id,boundary,bottom_left_lon,bottom_left_lat,top_right_lon,top_right_lat
DKI JAKARTA,JAKARTA UTARA,5254863312755097599,JAKARTA UTARA - 5254863312755097599,"POLYGON((106.72119140625 -6.11870774719085, 106.72119140625 -6.1405547824503, 106.7431640625 -6.1405547824503, 106.7431640625 -6.11870774719085, 106.72119140625 -6.11870774719085))",106.72119140625,-6.1405547824503,106.7431640625,-6.11870774719085
DKI JAKARTA,JAKARTA BARAT,5254863314197938175,JAKARTA BARAT - 5254863314197938175,"POLYGON((106.72119140625 -6.1405547824503, 106.72119140625 -6.16240092152658, 106.7431640625 -6.16240092152658, 106.7431640625 -6.1405547824503, 106.72119140625 -6.1405547824503))",106.72119140625,-6.16240092152658,106.7431640625,-6.1405547824503
DKI JAKARTA,JAKARTA BARAT,5254863314231492607,JAKARTA BARAT - 5254863314231492607,"POLYGON((106.72119140625 -6.16240092152658, 106.72119140625 -6.1842461612806, 106.7431640625 -6.18424616128059, 106.7431640625 -6.16240092152658, 106.72119140625 -6.16240092152658))",106.72119140625,-6.1842461612806,106.7431640625,-6.16240092152658
DKI JAKARTA,JAKARTA BARAT,5254863314332155903,JAKARTA BARAT - 5254863314332155903,"POLYGON((106.72119140625 -6.1842461612806, 106.72119140625 -6.20609049857388, 106.7431640625 -6.20609049857388, 106.7431640625 -6.18424616128059, 106.72119140625 -6.1842461612806))",106.72119140625,-6.20609049857388,106.7431640625,-6.18424616128059
DKI JAKARTA,JAKARTA SELATAN,5254863314365710335,JAKARTA SELATAN - 5254863314365710335,"POLYGON((106.72119140625 -6.20609049857388, 106.72119140625 -6.22793393026867, 106.7431640625 -6.22793393026867, 106.7431640625 -6.20609049857388, 106.72119140625 -6.20609049857388))",106.72119140625,-6.22793393026867,106.7431640625,-6.20609049857388
DKI JAKARTA,JAKARTA BARAT,5254863314365710335,JAKARTA BARAT - 5254863314365710335,"POLYGON((106.72119140625 -6.20609049857388, 106.72119140625 -6.22793393026867, 106.7431640625 -6.22793393026867, 106.7431640625 -6.20609049857388, 106.72119140625 -6.20609049857388))",106.72119140625,-6.22793393026867,106.7431640625,-6.20609049857388
DKI JAKARTA,JAKARTA SELATAN,5254863314734809087,JAKARTA SELATAN - 5254863314734809087,"POLYGON((106.72119140625 -6.22793393026867, 106.72119140625 -6.24977645322781, 106.7431640625 -6.24977645322781, 106.7431640625 -6.22793393026867, 106.72119140625 -6.22793393026867))",106.72119140625,-6.24977645322781,106.7431640625,-6.22793393026867
DKI JAKARTA,JAKARTA TIMUR,5254863338139025407,JAKARTA TIMUR - 5254863338139025407,"POLYGON((106.8310546875 -6.31529853833003, 106.8310546875 -6.33713739498853, 106.85302734375 -6.33713739498854, 106.85302734375 -6.31529853833003, 106.8310546875 -6.31529853833003))",106.8310546875,-6.33713739498854,106.85302734375,-6.31529853833003
DKI JAKARTA,JAKARTA SELATAN,5254863338139025407,JAKARTA SELATAN - 5254863338139025407,"POLYGON((106.8310546875 -6.31529853833003, 106.8310546875 -6.33713739498853, 106.85302734375 -6.33713739498854, 106.85302734375 -6.31529853833003, 106.8310546875 -6.31529853833003))",106.8310546875,-6.33713739498854,106.85302734375,-6.31529853833003
DKI JAKARTA,JAKARTA TIMUR,5254863338172579839,JAKARTA TIMUR - 5254863338172579839,"POLYGON((106.8310546875 -6.33713739498853, 106.8310546875 -6.35897532723566, 106.85302734375 -6.35897532723566, 106.85302734375 -6.33713739498854, 106.8310546875 -6.33713739498853))",106.8310546875,-6.35897532723566,106.85302734375,-6.33713739498853
